Date,Ticker,Close,High,Low,Open,Volume
2018-10-24,NESTLEIND.NS,886.1878051757812,894.4880828618345,877.0602738743112,877.4367417793933,992880
2018-10-25,NESTLEIND.NS,886.5643310546875,908.1004410710943,875.9914595775468,883.0090464425174,1238220
2018-10-26,NESTLEIND.NS,889.4642333984375,902.5281118764083,879.9927981116626,891.2348692464637,716630
2018-10-29,NESTLEIND.NS,900.0325317382812,916.5448144872706,892.3038766210104,907.0826822700069,2394630
2018-10-30,NESTLEIND.NS,903.3136596679688,907.6357796538068,893.4658114530519,900.483398937999,627060
2018-10-31,NESTLEIND.NS,943.2255859375,947.9148695368148,903.922413712736,910.8935377259448,1624840
2018-11-01,NESTLEIND.NS,926.6482543945312,958.8177099099263,920.5136314555765,951.6978370835084,774130
2018-11-02,NESTLEIND.NS,950.8287963867188,961.9221759897338,928.5583587318849,935.9802683882983,915460
2018-11-05,NESTLEIND.NS,960.4024047851562,966.6624600818453,944.6383503975312,951.2795255488879,601630
2018-11-06,NESTLEIND.NS,944.3782348632812,968.7166945860345,937.0399465042591,960.6255838004225,398290
2018-11-07,NESTLEIND.NS,949.968994140625,952.7249368043612,943.4487125751091,952.7202848498454,34650
2018-11-09,NESTLEIND.NS,950.489501953125,964.3388243886129,943.7321976355568,955.880549922581,556000
2018-11-12,NESTLEIND.NS,941.0599365234375,962.0151195471104,937.6486923062462,952.7063316106055,364750
2018-11-13,NESTLEIND.NS,942.8770751953125,951.6142404055691,936.8866055945604,942.0312704026386,207980
2018-11-14,NESTLEIND.NS,966.1373291015625,970.3850169829254,943.9830220617014,943.9830220617014,894920
2018-11-15,NESTLEIND.NS,972.5927124023438,977.5468174043734,958.771300661917,966.1420394829292,934040
2018-11-16,NESTLEIND.NS,993.3618774414062,997.8001822673799,973.6939818091042,975.9573277883082,1144900
2018-11-19,NESTLEIND.NS,961.3319091796875,1003.7395781379498,942.3611262115998,1002.5405085597421,1433910
2018-11-20,NESTLEIND.NS,953.15234375,976.7751927563934,945.4702091378416,965.1752619638015,521730
2018-11-21,NESTLEIND.NS,951.6328125,961.9221984610463,946.3207909835362,957.3677080313485,415620
2018-11-22,NESTLEIND.NS,957.6695556640625,971.1889271559193,949.9409587463239,958.0088078923794,509640
2018-11-26,NESTLEIND.NS,971.6118774414062,975.0277732234598,959.6913020526428,959.6913020526428,460140
2018-11-27,NESTLEIND.NS,977.6676025390625,981.8224787815957,963.8741032646823,971.3099690565024,382160
2018-11-28,NESTLEIND.NS,994.426025390625,998.1718693101567,979.9957783581549,983.3930661342081,889680
2018-11-29,NESTLEIND.NS,985.8516845703125,1001.703956328089,965.4541130815387,1001.703956328089,1781260
2018-11-30,NESTLEIND.NS,1000.5745849609375,1012.2442950144232,984.7547647031139,994.5469007712705,711750
2018-12-03,NESTLEIND.NS,998.7901000976562,1010.25070102566,989.4349057792284,1005.6265446140808,655610
2018-12-04,NESTLEIND.NS,984.2294921875,1002.2707875350819,981.1621531494292,996.889045090243,516320
2018-12-05,NESTLEIND.NS,974.8837890625,984.2297926519287,970.38047014608,980.6047854445541,857980
2018-12-06,NESTLEIND.NS,958.2366943359375,971.1424625271277,951.0470995905082,971.1424625271277,435620
2018-12-07,NESTLEIND.NS,967.0899658203125,979.670551555122,960.1560580882291,960.1560580882291,578020
2018-12-10,NESTLEIND.NS,966.560302734375,970.2782355508032,955.0486441745245,957.3677002302794,947780
2018-12-11,NESTLEIND.NS,988.463623046875,1003.749039471156,959.4405296647809,962.6658094883874,547660
2018-12-12,NESTLEIND.NS,1012.762939453125,1017.455678899381,988.4075476281703,993.1936516707214,906570
2018-12-13,NESTLEIND.NS,1026.939453125,1045.7849705018214,1016.9889962383888,1022.5922413967271,761370
2018-12-14,NESTLEIND.NS,1025.944580078125,1043.590147106476,1019.6409307358007,1030.4365686249448,627280
2018-12-17,NESTLEIND.NS,1043.193115234375,1056.4867950145888,1027.7234365548557,1027.728110483757,985500
2018-12-18,NESTLEIND.NS,1036.0396728515625,1055.2774513779123,1029.4651644626456,1043.4172990723546,670190
2018-12-19,NESTLEIND.NS,1043.5389404296875,1048.7405687816686,1037.7254832108656,1045.9295987428086,1363060
2018-12-20,NESTLEIND.NS,1048.9786376953125,1066.951038149995,1041.2741772447764,1041.2741772447764,579250
2018-12-21,NESTLEIND.NS,1028.232666015625,1057.4955713425693,1023.3858006737977,1051.9810180098893,662910
2018-12-24,NESTLEIND.NS,1020.103271484375,1047.9934108009707,1011.9039439837164,1032.4911244077546,341910
2018-12-26,NESTLEIND.NS,1005.7870483398438,1026.0473961497796,1003.4476892321903,1023.9929187930169,371720
2018-12-27,NESTLEIND.NS,1021.9243774414062,1024.3664489162138,1008.5933028295367,1013.1599605276655,523110
2018-12-28,NESTLEIND.NS,1051.4112548828125,1064.3034342255298,1020.8268846721066,1026.7009879798104,566360
2018-12-31,NESTLEIND.NS,1035.185302734375,1060.6941302131938,1029.596080548336,1055.2776154372968,464300
2019-01-01,NESTLEIND.NS,1028.666748046875,1043.1745106258713,1026.3227154989283,1041.2693714399322,317090
2019-01-02,NESTLEIND.NS,1030.5672607421875,1042.2032932899715,1018.580911476603,1025.4403020482848,281670
2019-01-03,NESTLEIND.NS,1046.6065673828125,1073.8617347761676,1027.252051543708,1037.6273779978892,1692910
2019-01-04,NESTLEIND.NS,1013.365478515625,1045.836299843065,995.0942861134118,1040.2424029952738,2061630
2019-01-07,NESTLEIND.NS,1007.2857055664062,1021.6253209468276,999.2450650313215,1015.5878581509926,859590
2019-01-08,NESTLEIND.NS,1027.765869140625,1049.6745197004666,998.3114426688601,1008.5840580751815,1343410
2019-01-09,NESTLEIND.NS,1050.818359375,1055.1281788083024,1032.7152025838213,1036.586128592318,984830
2019-01-10,NESTLEIND.NS,1066.1666259765625,1069.0803083054225,1040.2982476995328,1057.1453711898203,769150
2019-01-11,NESTLEIND.NS,1052.7562255859375,1070.0328949106536,1041.3628941728246,1064.630401799592,572530
2019-01-14,NESTLEIND.NS,1048.6141357421875,1063.2805818985662,1045.0000489014456,1055.2773340464923,518110
2019-01-15,NESTLEIND.NS,1053.6572265625,1059.0129795828016,1045.9387452669644,1054.9039117124546,494700
2019-01-16,NESTLEIND.NS,1032.4814453125,1054.5069351817517,1025.3933754834525,1051.639878935864,1366790
2019-01-17,NESTLEIND.NS,1042.7359619140625,1049.0163576894117,1038.6549358420061,1045.9392008760087,727370
2019-01-18,NESTLEIND.NS,1050.458740234375,1057.7476765611295,1044.1644389418082,1045.9388222434854,767620
2019-01-21,NESTLEIND.NS,1051.098876953125,1056.113777301394,1041.2791751709526,1054.9043690634637,191080
